Episode,Step,StepReward,TotalReward,ActionGas,ActionSteer
0,566,-0.00451,1.1112,0.11,0.21
0,567,-0.00282,1.1084,0.11,0.21
0,568,-0.00148,1.1069,0.11,0.21
0,569,-0.00062,1.1063,0.11,0.21
0,570,-0.00028,1.1060,0.11,0.21
0,571,-0.00084,1.1052,0.40,-0.06
0,572,0.00088,1.1060,0.40,-0.06
0,573,0.00149,1.1075,0.40,-0.06
0,574,0.00209,1.1096,0.40,-0.06
0,575,0.00242,1.1120,0.40,-0.06
0,576,0.00152,1.1136,-0.32,0.11
0,577,0.00107,1.1146,-0.32,0.11
0,578,-0.00026,1.1144,-0.32,0.11
0,579,-0.00159,1.1128,-0.32,0.11
0,580,-0.00290,1.1099,-0.32,0.11
0,581,-0.00464,1.1052,-0.21,0.41
0,582,-0.00514,1.1001,-0.21,0.41
0,583,-0.00576,1.0943,-0.21,0.41
0,584,-0.00634,1.0880,-0.21,0.41
0,585,-0.00637,1.0816,-0.21,0.41
0,586,-0.00679,1.0748,0.03,0.24
0,587,-0.00506,1.0698,0.03,0.24
0,588,-0.00371,1.0661,0.03,0.24
0,589,-0.00235,1.0637,0.03,0.24
0,590,-0.00099,1.0627,0.03,0.24
0,591,-0.00066,1.0621,0.23,0.07
0,592,0.00108,1.0631,0.23,0.07
0,593,0.00175,1.0649,0.23,0.07
0,594,0.00227,1.0672,0.23,0.07
0,595,0.00226,1.0694,0.23,0.07
0,596,0.00151,1.0709,0.10,0.67
0,597,0.00207,1.0730,0.10,0.67
0,598,0.00145,1.0745,0.10,0.67
0,599,0.00083,1.0753,0.10,0.67
0,600,0.00022,1.0755,0.10,0.67
0,601,-0.00101,1.0745,0.12,0.07
0,602,-0.00051,1.0740,0.12,0.07
0,603,-0.00037,1.0736,0.12,0.07
